User_ID,Age,City_Tier,Monthly_Income,Monthly_Spend,Food_Pct,Shopping_Pct,Transport_Pct,Entertainment_Pct,Bills_Pct,Others_Pct,Num_Transactions,Has_Credit_Card,Uses_Budget_App,Financial_Anxiety_Score,Savings_Rate
U049,27,1,62000,43400,16,16,12,8,30,18,90,1,1,4,30
U050,28,1,78000,54600,14,16,10,8,35,17,95,1,1,3,30
U051,19,1,7500,7125,38,20,8,18,10,6,44,0,0,9,5
U052,20,1,9500,9025,35,22,10,16,12,5,48,0,0,8,5
U053,21,1,13000,11050,30,24,12,14,14,6,50,0,0,7,15
U054,22,2,16000,13600,30,20,10,16,16,8,44,0,0,8,15
U055,23,1,28000,23800,26,22,14,10,18,10,58,1,0,7,15
U056,24,1,36000,28800,24,20,14,8,22,12,66,1,0,6,20
U057,25,2,38000,30400,22,20,12,10,24,12,56,1,0,6,20
U058,26,1,48000,36000,20,20,14,8,24,14,76,1,0,5,25
U059,27,1,56000,39200,18,18,12,8,28,16,84,1,1,4,30
U060,28,1,68000,47600,16,16,10,8,32,18,88,1,1,4,30
U061,20,1,11000,10450,32,26,10,14,12,6,54,0,0,8,5
U062,21,2,9500,8550,34,20,10,16,14,6,40,0,0,8,10
U063,22,1,24000,20400,28,22,12,14,16,8,60,1,0,6,15
U064,23,1,34000,27200,24,22,14,10,18,12,64,1,0,6,20
U065,24,2,30000,25500,26,18,12,10,22,12,54,1,0,6,20
U066,25,1,52000,39000,18,18,14,10,26,14,80,1,1,5,25
U067,26,1,58000,43500,18,20,12,8,28,14,86,1,1,5,25
U068,27,2,48000,36000,22,16,12,8,26,16,68,1,0,5,25
U069,28,1,82000,57400,14,16,10,8,34,18,96,1,1,3,30
U070,19,2,6500,6175,40,18,8,18,10,6,34,0,0,9,5
U071,20,3,6000,5700,40,16,10,18,10,6,28,0,0,9,5
U072,21,1,15000,12750,28,24,12,14,16,6,54,1,0,7,15
U073,22,1,20000,17000,28,24,12,14,14,8,56,1,0,7,15
U074,23,1,36000,28800,24,20,14,10,20,12,64,1,0,6,20
U075,24,1,44000,35200,22,20,14,8,22,14,72,1,0,5,20
U076,25,2,36000,28800,24,18,12,10,24,12,56,1,0,6,20
U077,26,1,54000,40500,18,18,14,8,28,14,84,1,1,5,25
U078,27,1,64000,44800,16,16,12,8,30,18,90,1,1,4,30
U079,28,1,76000,53200,14,16,10,8,34,18,94,1,1,3,30
U080,19,1,8500,8075,36,22,8,18,10,6,46,0,0,8,5
U081,21,1,12500,10625,30,24,12,14,14,6,50,1,0,7,15
U082,22,2,14000,12600,32,20,10,14,16,8,44,0,0,8,10
U083,23,1,30000,24000,26,22,14,10,18,10,60,1,0,7,20
U084,24,1,40000,32000,22,20,14,8,22,14,70,1,0,5,20
U085,25,1,46000,34500,20,18,14,10,24,14,78,1,0,5,25
U086,26,2,44000,35200,22,18,12,8,26,14,64,1,0,5,20
U087,27,1,60000,42000,18,18,12,8,28,16,86,1,1,4,30
U088,28,1,74000,51800,16,16,10,8,32,18,92,1,1,3,30
U089,20,2,8500,8075,36,20,10,16,12,6,38,0,0,9,5
U090,21,3,7500,6750,36,18,10,18,12,6,32,0,0,8,10
U091,22,1,18000,15300,28,24,12,14,14,8,52,1,0,7,15
U092,23,2,24000,20400,28,20,12,10,20,10,50,1,0,7,15
U093,24,1,38000,30400,24,20,14,8,22,12,68,1,0,6,20
U094,25,1,50000,37500,20,18,14,10,24,14,80,1,0,5,25
U095,26,1,56000,42000,18,18,14,8,28,14,84,1,1,5,25
U096,27,2,50000,37500,22,16,12,8,28,14,70,1,1,5,25
U097,28,1,70000,49000,16,16,10,8,34,16,90,1,1,3,30
U098,19,3,5500,5225,42,14,8,20,10,6,28,0,0,9,5
U099,20,1,10500,9975,34,22,10,16,12,6,50,0,0,8,5
U100,25,1,48000,36000,20,18,14,8,26,14,78,1,0,5,25
